Entry	Cross-reference (Pfam)
Q9NQV6	PF00096;PF12171;
Q13029	PF00856;PF00096;
Q9HAZ2	PF00096;
O75626	PF00856;
Q9NQX1	PF00096;PF12171;
Q9NQV5	
Q9GZV8	PF00856;PF00096;
P57071	PF00096;
Q9UKN5	PF00096;
Q9NQW5	PF01352;PF09514;
Q9NQV7	PF01352;PF09514;
Q9H4Q4	
Q9H4Q3	PF00096;
Q9NQX0	PF00856;PF00096;
Q9NQV8	PF00096;
Q9H9D4	
